Replace Part * MJ-2135 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with MJ-2135 from Connectors.SchLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C_L? Cap in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part D? RGB in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with RGB from Active Components.SchLib
Replace Part D? LED1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with LED1 from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part L? Inductor in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Inductor from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part R? Res1 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Res1 from Miscellaneous Devices.IntLib
Replace Part SW? Edge switch in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with Edge switch from Connectors.SchLib
Replace Part U? CC2590RGVR in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with CC2590RGVR from CC2590.SchLib
Replace Part U? CC8531RHAR in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with CC8531RHAR from CC8531.SchLib
Replace Part X_? X_48 in D:\git\Hardware\nanoPiAir_audio_hat\nanopiair_audiohat.SchDoc with X_48 from Active Components.SchLib
